Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-06-07T08:44:12Z,FALSE,Flers - Run,21.51,1678,02:02:03,153,169,3.3,160,169,5:40,4:38,260,110,1.1,0,0,0,0.0,0,--,--,--,00:00:00,18,00:00:00,No,00:51:00,24,0
Running,2020-06-04T18:18:54Z,FALSE,Bruz - Easy Run,5.72,472,00:32:02,150,160,3.1,159,166,5:36,5:02,26,16,1.12,0,0,0,0.0,0,--,--,--,00:00:00,21,00:00:00,No,00:56:00,8,0
Running,2020-06-03T18:50:23Z,FALSE,Bruz - Speed Repeats,8.97,693,00:46:42,155,173,3.5,161,198,5:12,3:37,35,35,1.19,0,0,0,0.0,0,--,--,--,00:00:00,21,00:00:00,No,00:45:00,19,0
Running,2020-06-02T17:59:33Z,FALSE,Bruz - Tired Run,8.51,668,00:48:53,147,164,3.2,154,164,5:45,4:41,46,47,1.14,0,0,0,0.0,0,--,--,--,00:00:00,28,00:00:00,No,00:17:00,11,0
Walking,2020-06-01T11:30:54Z,FALSE,Guichen Walking,16.09,1280,03:49:31,102,136,0.5,80,219,14:16,7:23,324,318,0.88,0,0,0,0.0,0,--,--,--,00:00:00,28,00:00:00,No,01:08:00,17,0
Running,2020-05-31T17:19:19Z,FALSE,Bruz - Run,18.07,1484,01:38:29,159,184,5.0,160,168,5:27,4:25,62,55,1.15,0,0,0,0.0,0,--,--,--,00:00:00,30,00:00:00,No,00:29:00,21,0
Cycling,2020-05-29T17:34:32Z,FALSE,Bruz Cycling,4.94,185,00:21:02,114,138,0.7,--,--,14.1,33.5,39,29,0,0,0,0,0.0,0,--,--,--,00:00:00,30,00:00:00,No,00:00:00,1,0
Running,2020-05-29T08:19:18Z,FALSE,Bruz - Easy Run,7.14,571,00:42:19,144,154,3.0,160,235,5:56,4:54,28,30,1.06,0,0,0,0.0,0,--,--,--,00:00:00,24,00:00:00,No,00:03:00,10,0
Running,2020-05-28T17:38:48Z,FALSE,Bruz - Easy Run,7.16,606,00:38:11,161,176,3.8,159,173,5:20,4:38,35,33,1.18,0,0,0,0.0,0,--,--,--,00:00:00,30,00:00:00,No,00:06:00,10,0
Running,2020-05-27T18:20:44Z,FALSE,Bruz - Speed Repeats,6.68,563,00:37:23,155,175,3.4,157,171,5:36,4:04,27,24,1.13,0,0,0,0.0,0,--,--,--,00:00:00,29,00:00:00,No,00:08:00,17,0
Cycling,2020-05-27T13:52:06Z,FALSE,Bruz Cycling,28.19,943,01:43:13,122,146,1.9,--,--,16.4,28.0,109,89,0,0,0,0,0.0,0,--,--,--,00:00:00,28,00:00:00,No,11:32:00,6,0
Running,2020-05-26T18:27:13Z,FALSE,Bruz - Tired Run,6.98,557,00:39:07,146,158,3.2,153,164,5:36,4:47,32,28,1.16,0,0,0,0.0,0,--,--,--,00:00:00,26,00:00:00,No,02:00:00,9,0
Running,2020-05-24T11:17:37Z,FALSE,Bruz - Run,15.07,1206,01:20:24,154,167,4.0,159,169,5:20,4:34,49,40,1.18,0,0,0,0.0,0,--,--,--,00:00:00,21,00:00:00,No,02:00:00,17,0
Running,2020-05-22T08:32:24Z,FALSE,Bruz - Easy Run,5.51,452,00:32:13,144,153,2.9,159,165,5:51,5:12,21,25,1.08,0,0,0,0.0,0,--,--,--,00:00:00,21,00:00:00,No,02:00:00,7,0
Running,2020-05-21T09:18:17Z,FALSE,Bruz - Easy Run,5.47,458,00:31:21,149,163,3.1,159,167,5:44,5:05,24,23,1.1,0,0,0,0.0,0,--,--,--,00:00:00,22,00:00:00,No,00:00:00,8,0
Running,2020-05-20T17:28:21Z,FALSE,Bruz - Speed Repeats,6.00,499,00:32:58,156,176,3.4,159,175,5:29,4:04,23,20,1.14,0,0,0,0.0,0,--,--,--,00:00:00,29,00:00:00,No,00:01:00,19,0
Running,2020-05-19T18:15:27Z,FALSE,Bruz - Tired Run,8.84,748,00:50:03,151,162,3.5,158,168,5:40,5:00,35,32,1.12,0,0,0,0.0,0,--,--,--,00:00:00,26,00:00:00,No,00:15:00,12,0
Running,2020-05-17T10:17:48Z,FALSE,Bruz - Run,17.05,1451,01:34:18,158,171,4.6,159,169,5:32,4:48,47,46,1.14,0,0,0,0.0,0,--,--,--,00:00:00,19,00:00:00,No,00:26:00,20,0
Running,2020-05-14T18:20:11Z,FALSE,Bruz - Easy Run,8.02,651,00:42:52,154,169,3.5,159,173,5:21,4:10,24,28,1.18,0,0,0,0.0,0,--,--,--,00:00:00,19,00:00:00,No,02:00:00,10,0
Running,2020-05-13T13:07:18Z,FALSE,Bruz - Time Trial,2.76,209,00:13:44,153,172,2.5,161,174,4:59,3:50,9,11,1.24,0,0,0,0.0,0,--,--,--,00:00:00,23,00:00:00,No,00:02:00,5,0
Running,2020-05-12T18:19:49Z,FALSE,Bruz - Tired Run,7.15,563,00:37:06,153,163,3.4,161,171,5:11,4:21,33,22,1.2,0,0,0,0.0,0,--,--,--,00:00:00,20,00:00:00,No,02:00:00,9,0
Running,2020-05-10T15:13:00Z,FALSE,Bruz - Run,13.57,1115,01:16:51,150,168,3.5,158,168,5:40,4:18,80,60,1.12,0,0,0,0.0,0,--,--,--,00:00:00,24,00:00:00,No,02:00:00,15,0
Running,2020-05-08T17:26:56Z,FALSE,Bruz - Easy Run,7.14,591,00:39:05,151,164,3.3,158,168,5:28,4:34,33,27,1.15,0,0,0,0.0,0,--,--,--,00:00:00,23,00:00:00,No,02:00:00,9,0
Running,2020-05-07T18:18:41Z,FALSE,Bruz - Easy Run,6.90,562,00:40:13,145,155,3.1,153,166,5:50,4:39,40,36,1.12,0,0,0,0.0,0,--,--,--,00:00:00,27,00:00:00,No,02:00:00,9,0
Running,2020-05-06T17:54:39Z,FALSE,Bruz - Time Trial,3.25,251,00:17:36,146,174,2.5,153,223,5:25,3:39,15,14,1.2,0,0,0,0.0,0,--,--,--,00:00:00,24,00:00:00,No,00:16:00,5,0
Running,2020-05-05T18:19:49Z,FALSE,Bruz - Tired Run,5.55,447,00:30:12,149,161,3.1,159,166,5:26,4:18,26,23,1.16,0,0,0,0.0,0,--,--,--,00:00:00,26,00:00:00,No,02:00:00,7,0
Running,2020-05-03T11:25:20Z,FALSE,Bruz - Run,10.40,870,00:56:21,156,169,4.0,161,171,5:25,4:52,49,45,1.15,0,0,0,0.0,0,--,--,--,00:00:00,23,00:00:00,No,02:00:00,12,0
