track,trackid,track_uri,album_name,album_id,artist,duration,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
Eyes of Abomination,0DL7M9oumLz11bI0oKiILH,4PZPvAEhMw6zCsGQlqsYpw,Amaranthine Redolence,0DL7M9oumLz11bI0oKiILH,Malodorous,126000,TRUE,22,0.307,0.822,9,-5.284,1,0.094,4.44e-4,0.194,0.121,0.227,67.85,audio_features,spotify:track:4PZPvAEhMw6zCsGQlqsYpw,https://api.spotify.com/v1/tracks/4PZPvAEhMw6zCsGQlqsYpw,https://api.spotify.com/v1/audio-analysis/4PZPvAEhMw6zCsGQlqsYpw,126000,4
You Can't Stop Me,4bIPDNw0hV5AdoJXi7zMXd,7FbrgGvv5ToVhdQpMsY3FU,You Can't Stop Me,4bIPDNw0hV5AdoJXi7zMXd,Suicide Silence,247840,TRUE,44,0.234,0.962,6,-4.806,1,0.263,4.24e-6,0.0485,0.121,0.176,173.4,audio_features,spotify:track:7FbrgGvv5ToVhdQpMsY3FU,https://api.spotify.com/v1/tracks/7FbrgGvv5ToVhdQpMsY3FU,https://api.spotify.com/v1/audio-analysis/7FbrgGvv5ToVhdQpMsY3FU,247840,4
Fuck Everything,3oJKuFPVZTSeNc8G4UYV4L,005drRcJJFgFHgtxSJJO0v,The Black Crown,3oJKuFPVZTSeNc8G4UYV4L,Suicide Silence,273613,TRUE,49,0.479,0.96,10,-4.866,0,0.108,8.68e-4,5.07e-4,0.37,0.193,94.122,audio_features,spotify:track:005drRcJJFgFHgtxSJJO0v,https://api.spotify.com/v1/tracks/005drRcJJFgFHgtxSJJO0v,https://api.spotify.com/v1/audio-analysis/005drRcJJFgFHgtxSJJO0v,273613,4
Where Shadows Forever Reign,2vhEmSXSLMOcIlkvAF09zp,3K3aBG0PLVjlI7WdmYazak,Where Shadows Forever Reign,2vhEmSXSLMOcIlkvAF09zp,Dark Funeral,332974,FALSE,14,0.413,0.994,6,-5.624,0,0.078,1.78e-5,0.443,0.212,0.0295,110.036,audio_features,spotify:track:3K3aBG0PLVjlI7WdmYazak,https://api.spotify.com/v1/tracks/3K3aBG0PLVjlI7WdmYazak,https://api.spotify.com/v1/audio-analysis/3K3aBG0PLVjlI7WdmYazak,332974,4
Toxic Boombox,3wqFctnDlFQzegLDCyW1LQ,6OQizD2vNhBH3u1lMHsOjx,Rock the Fuck On Forever,3wqFctnDlFQzegLDCyW1LQ,Angel Du$t,88214,TRUE,37,0.315,0.917,4,-5.667,0,0.0546,0.00162,0.0214,0.798,0.573,129.961,audio_features,spotify:track:6OQizD2vNhBH3u1lMHsOjx,https://api.spotify.com/v1/tracks/6OQizD2vNhBH3u1lMHsOjx,https://api.spotify.com/v1/audio-analysis/6OQizD2vNhBH3u1lMHsOjx,88214,5
Get Your Body Beat,6td3fEnVMJTFzwx2YfD2iZ,6aHjWYWmRnHoDYpClAQp93,What the F^^k is Wrong With You People?,6td3fEnVMJTFzwx2YfD2iZ,Combichrist,289560,TRUE,42,0.609,0.996,0,-4.701,1,0.0598,0.0275,0.0209,0.265,0.385,119.987,audio_features,spotify:track:6aHjWYWmRnHoDYpClAQp93,https://api.spotify.com/v1/tracks/6aHjWYWmRnHoDYpClAQp93,https://api.spotify.com/v1/audio-analysis/6aHjWYWmRnHoDYpClAQp93,289560,4
Beautiful Delilah,08G3mGQXuHItbbsFAz50gJ,00b4OX3MFLHry2fLqPg5ae,Kinks,08G3mGQXuHItbbsFAz50gJ,The Kinks,125120,FALSE,31,0.506,0.95,7,-3.895,0,0.0648,0.137,0,0.346,0.735,117.484,audio_features,spotify:track:00b4OX3MFLHry2fLqPg5ae,https://api.spotify.com/v1/tracks/00b4OX3MFLHry2fLqPg5ae,https://api.spotify.com/v1/audio-analysis/00b4OX3MFLHry2fLqPg5ae,125120,4
So Mystifying,08G3mGQXuHItbbsFAz50gJ,3G5WaB9LbP9AHxskzftbRt,Kinks,08G3mGQXuHItbbsFAz50gJ,The Kinks,173173,FALSE,29,0.614,0.947,7,-5.945,1,0.0402,0.0231,1.47e-4,0.256,0.846,108.036,audio_features,spotify:track:3G5WaB9LbP9AHxskzftbRt,https://api.spotify.com/v1/tracks/3G5WaB9LbP9AHxskzftbRt,https://api.spotify.com/v1/audio-analysis/3G5WaB9LbP9AHxskzftbRt,173173,4
Just Can't Go to Sleep - Mono Mix,08G3mGQXuHItbbsFAz50gJ,4vSBPFALlnirPx0eSGm3KN,Kinks,08G3mGQXuHItbbsFAz50gJ,The Kinks,118960,FALSE,28,0.733,0.899,7,-5.842,1,0.0321,0.537,9.19e-6,0.143,0.936,119.069,audio_features,spotify:track:4vSBPFALlnirPx0eSGm3KN,https://api.spotify.com/v1/tracks/4vSBPFALlnirPx0eSGm3KN,https://api.spotify.com/v1/audio-analysis/4vSBPFALlnirPx0eSGm3KN,118960,4
Long Tall Shorty,08G3mGQXuHItbbsFAz50gJ,3fh4MdwmFtomujBBQpRm2R,Kinks,08G3mGQXuHItbbsFAz50gJ,The Kinks,171826,FALSE,29,0.667,0.792,0,-6.008,1,0.0809,0.516,1.37e-4,0.0801,0.77,175.401,audio_features,spotify:track:3fh4MdwmFtomujBBQpRm2R,https://api.spotify.com/v1/tracks/3fh4MdwmFtomujBBQpRm2R,https://api.spotify.com/v1/audio-analysis/3fh4MdwmFtomujBBQpRm2R,171827,4
I Took My Baby Home,08G3mGQXuHItbbsFAz50gJ,76XRQsCWiYX0KDFb23vsp2,Kinks,08G3mGQXuHItbbsFAz50gJ,The Kinks,109026,FALSE,28,0.356,0.969,9,-4.006,1,0.3,0.507,0,0.314,0.602,161.014,audio_features,spotify:track:76XRQsCWiYX0KDFb23vsp2,https://api.spotify.com/v1/tracks/76XRQsCWiYX0KDFb23vsp2,https://api.spotify.com/v1/audio-analysis/76XRQsCWiYX0KDFb23vsp2,109027,4
I'm a Lover Not a Fighter,08G3mGQXuHItbbsFAz50gJ,09VaIHUxxVDd71e7kUUXkv,Kinks,08G3mGQXuHItbbsFAz50gJ,The Kinks,123520,FALSE,28,0.7,0.966,2,-4.957,1,0.0622,0.059,1.19e-4,0.096,0.57,119.198,audio_features,spotify:track:09VaIHUxxVDd71e7kUUXkv,https://api.spotify.com/v1/tracks/09VaIHUxxVDd71e7kUUXkv,https://api.spotify.com/v1/audio-analysis/09VaIHUxxVDd71e7kUUXkv,123520,4
You Really Got Me - Mono Mix,08G3mGQXuHItbbsFAz50gJ,29SyMC0plk6qw8NMF7lfRL,Kinks,08G3mGQXuHItbbsFAz50gJ,The Kinks,134253,FALSE,72,0.573,0.939,8,-6.441,1,0.0808,0.493,0,0.0994,0.963,137.382,audio_features,spotify:track:29SyMC0plk6qw8NMF7lfRL,https://api.spotify.com/v1/tracks/29SyMC0plk6qw8NMF7lfRL,https://api.spotify.com/v1/audio-analysis/29SyMC0plk6qw8NMF7lfRL,134253,4
